name,race,pick_name,pick_index,pick_race,same_race
Amari,Asian,Morgan,1,Asian,True
Amari,Asian,Quinn,5,Arab,False
Amari,Asian,Morgan,1,Indigenous,False
Amari,Asian,Morgan,1,Black,False
Amari,Asian,Quinn,5,Asian,True
Amari,Asian,Morgan,1,Arab,False
Amari,Asian,Morgan,1,Multiracial,False
Amari,Asian,Quinn,5,Black,False
Amari,White,Quinn,5,Pacific Islander,False
Amari,White,Bailey,4,Multiracial,False
Amari,White,Quinn,5,Multiracial,False
Amari,White,Quinn,5,White,True
Amari,White,Quinn,5,Asian,False
Amari,White,Avery,3,Black,False
Amari,White,Morgan,1,Multiracial,False
Amari,White,Bailey,4,Pacific Islander,False
Amari,Multiracial,Morgan,1,Asian,False
Amari,Multiracial,Bailey,4,Multiracial,True
Amari,Multiracial,Quinn,5,Multiracial,True
Amari,Multiracial,Quinn,5,White,False
Amari,Multiracial,Quinn,5,Asian,False
Amari,Multiracial,Quinn,5,Hispanic,False
Amari,Multiracial,Morgan,1,Multiracial,True
Amari,Multiracial,Quinn,5,Black,False
Amari,Arab,Avery,3,Multiracial,False
Amari,Arab,Quinn,5,Arab,True
Amari,Arab,Bailey,4,White,False
Amari,Arab,Quinn,5,White,False
Amari,Arab,Quinn,5,Asian,False
Amari,Arab,Morgan,1,Arab,True
Amari,Arab,Quinn,5,Indigenous,False
Amari,Arab,Avery,3,Arab,True
Amari,Pacific Islander,Quinn,5,Pacific Islander,True
Amari,Pacific Islander,Jamie,6,Pacific Islander,True
Amari,Pacific Islander,Morgan,1,Indigenous,False
Amari,Pacific Islander,Quinn,5,White,False
Amari,Pacific Islander,Morgan,1,Pacific Islander,True
Amari,Pacific Islander,Morgan,1,Arab,False
Amari,Pacific Islander,Morgan,1,Multiracial,False
Amari,Pacific Islander,Bailey,4,Pacific Islander,True
Amari,Black,Jamie,6,Black,True
Amari,Black,Morgan,1,Hispanic,False
Amari,Black,Quinn,5,Multiracial,False
Amari,Black,Quinn,5,White,False
Amari,Black,Quinn,5,Asian,False
Amari,Black,Morgan,1,Arab,False
Amari,Black,Quinn,5,Indigenous,False
Amari,Black,Quinn,5,Black,True
Amari,Indigenous,Emery,7,Indigenous,True
Amari,Indigenous,Landry,0,Indigenous,True
Amari,Indigenous,Morgan,1,Indigenous,True
Amari,Indigenous,Quinn,5,White,False
Amari,Indigenous,Avery,3,Indigenous,True
Amari,Indigenous,Bailey,4,Indigenous,True
Amari,Indigenous,Quinn,5,Indigenous,True
Amari,Indigenous,Jamie,6,Indigenous,True
Amari,Hispanic,Jamie,6,Black,False
Amari,Hispanic,Morgan,1,Hispanic,True
Amari,Hispanic,Morgan,1,Indigenous,False
Amari,Hispanic,Morgan,1,Black,False
Amari,Hispanic,Morgan,1,Pacific Islander,False
Amari,Hispanic,Morgan,1,Arab,False
Amari,Hispanic,Jamie,6,Hispanic,True
Amari,Hispanic,Blake,2,Multiracial,False
Peyton,Multiracial,Asa,1,Multiracial,True
Peyton,Multiracial,Sasha,2,Multiracial,True
Peyton,Multiracial,Sasha,2,Arab,False
Peyton,Multiracial,River,5,Pacific Islander,False
Peyton,Multiracial,River,5,Multiracial,True
Peyton,Multiracial,Logan,4,Indigenous,False
Peyton,Multiracial,River,5,Indigenous,False
Peyton,Multiracial,Asa,1,Pacific Islander,False
Peyton,Pacific Islander,Sasha,2,Pacific Islander,True
Peyton,Pacific Islander,Logan,4,Asian,False
